step,window,regressor,parameter,mse,pocid
1,10,AutoRegression,[],0.3662709410339537,0.4835868694955965
1,11,AutoRegression,[],0.8078540919268491,0.49038461538461536
1,12,AutoRegression,[],1.5847420366183245,0.5012028869286287
1,13,AutoRegression,[],4.625786718260293,0.5008025682182986
1,14,AutoRegression,[],206.6832386049293,0.5148594377510041
1,15,AutoRegression,[],840.5730714754966,0.5080385852090032
1,16,AutoRegression,[],71.10914636333551,0.4915526950925181
1,17,AutoRegression,[],5323.1206923616755,0.49838969404186795
1,18,AutoRegression,[],9.057975815884662,0.4794520547945205
1,19,AutoRegression,[],2.654246275250975,0.4959677419354839
1,20,AutoRegression,[],1.6456894112676272,0.4915254237288136
1,21,AutoRegression,[],1.0338686448214145,0.48465266558966075
1,22,AutoRegression,[],0.6330828259113555,0.4834276475343573
1,23,AutoRegression,[],0.4968408173228945,0.4741100323624595
1,24,AutoRegression,[],0.41781510552986423,0.4761133603238866
1,25,AutoRegression,[],0.3995864402688512,0.48703403565640196
1,26,AutoRegression,[],0.4772648629128738,0.48661800486618007
1,27,AutoRegression,[],0.4354637027894286,0.4788961038961039
1,28,AutoRegression,[],0.4016786353662488,0.4744110479285134
1,29,AutoRegression,[],0.3803896285635152,0.4813008130081301
1,30,AutoRegression,[],0.34249460197589576,0.48576078112286414
1,31,AutoRegression,[],0.32808029715075065,0.48534201954397393
1,32,AutoRegression,[],0.31281891884714963,0.4808475957620212
1,33,AutoRegression,[],0.29736155820021204,0.4893964110929853
1,34,AutoRegression,[],0.29236994542170947,0.48081632653061224
1,35,AutoRegression,[],0.28397908411934886,0.49019607843137253
1,36,AutoRegression,[],0.2802681717200114,0.48160261651676206
1,37,AutoRegression,[],0.27808894546963203,0.4713584288052373
1,38,AutoRegression,[],0.2739656543805212,0.47174447174447176
1,39,AutoRegression,[],0.2738848354391743,0.4745901639344262
1,40,AutoRegression,[],0.2827667927340481,0.4815422477440525
1,41,AutoRegression,[],0.2721964984582469,0.4802955665024631
1,42,AutoRegression,[],0.266183358363885,0.48726376335250615
1,43,AutoRegression,[],0.2513324592949439,0.4934210526315789
1,44,AutoRegression,[],0.2453091941132716,0.47901234567901235
1,45,AutoRegression,[],0.2424126367276645,0.4917627677100494
1,46,AutoRegression,[],0.2395273726350086,0.47815333882934874
1,47,AutoRegression,[],0.23851766344184747,0.4744224422442244
1,48,AutoRegression,[],0.2368042858233992,0.4838976052848885
1,49,AutoRegression,[],0.23655895895965,0.484297520661157
1,50,AutoRegression,[],0.22913955763539554,0.48304383788254757
1,51,AutoRegression,[],0.22385995503597642,0.4759933774834437
1,52,AutoRegression,[],0.2223021451445087,0.4896437448218724
1,53,AutoRegression,[],0.22075964286242955,0.47429519071310117
1,54,AutoRegression,[],0.21734155737794827,0.48132780082987553
1,55,AutoRegression,[],0.21256292616149597,0.48255813953488375
1,56,AutoRegression,[],0.21339707441560407,0.486284289276808
1,57,AutoRegression,[],0.21414989693445477,0.4858569051580699
1,58,AutoRegression,[],0.21191784689763574,0.49375520399666945
1,59,AutoRegression,[],0.2197568676427404,0.4825
1,60,AutoRegression,[],0.2198062569247735,0.48874061718098416
1,61,AutoRegression,[],0.22186132267249195,0.48914858096828046
1,62,AutoRegression,[],0.2208594940083869,0.48621553884711777
1,63,AutoRegression,[],0.22029313536102352,0.4899665551839465
1,64,AutoRegression,[],0.21849557061657265,0.48619246861924686
1,65,AutoRegression,[],0.21767324708059285,0.4824120603015075
1,66,AutoRegression,[],0.21681591139857337,0.47778709136630343
1,67,AutoRegression,[],0.21654898550890095,0.47818791946308725
1,68,AutoRegression,[],0.2166447197518885,0.473551637279597
1,69,AutoRegression,[],0.21619410755217383,0.4865546218487395
1,70,AutoRegression,[],0.2130319084026097,0.4878048780487805
1,71,AutoRegression,[],0.20928494421234556,0.48737373737373735
1,72,AutoRegression,[],0.20784594162263595,0.4869418702611626
1,73,AutoRegression,[],0.2074151054327571,0.4822934232715008
1,74,AutoRegression,[],0.2042610899095282,0.4869198312236287
1,75,AutoRegression,[],0.20371823060699382,0.4856418918918919
1,76,AutoRegression,[],0.20301899711472451,0.4902789518174134
1,77,AutoRegression,[],0.20251911591327873,0.49153976311336717
1,78,AutoRegression,[],0.20165572557101966,0.49364944961896695
1,79,AutoRegression,[],0.19930004564435977,0.48898305084745763
1,80,AutoRegression,[],0.19743601579049758,0.48770144189991516
1,81,AutoRegression,[],0.1959279352579723,0.48896434634974534
1,82,AutoRegression,[],0.19499099944222983,0.4927782497875956
1,83,AutoRegression,[],0.19492842365059712,0.4914965986394558
1,84,AutoRegression,[],0.19394695827038902,0.4825531914893617
1,85,AutoRegression,[],0.19547856116338622,0.48722316865417375
1,86,AutoRegression,[],0.19583948977544502,0.4833759590792839
1,87,AutoRegression,[],0.19269194621792357,0.48293515358361777
1,88,AutoRegression,[],0.19174350797611556,0.484201537147737
1,89,AutoRegression,[],0.1900565889063608,0.4931623931623932
1,90,AutoRegression,[],0.18889383226221992,0.49529512403763903
1,91,AutoRegression,[],0.19044158894123164,0.4905821917808219
1,92,AutoRegression,[],0.19027110210732917,0.4952870608397601
1,93,AutoRegression,[],0.19022049899297888,0.49313893653516294
1,94,AutoRegression,[],0.19069836058104622,0.4892703862660944
1,95,AutoRegression,[],0.19135794637118317,0.49054982817869414
1,96,AutoRegression,[],0.19135899187678754,0.48409286328460877
1,97,AutoRegression,[],0.19032873811402926,0.4853700516351119
1,98,AutoRegression,[],0.19055682944805408,0.48148148148148145
1,99,AutoRegression,[],0.1908498064959369,0.47758620689655173
1,100,AutoRegression,[],0.19021856632849232,0.48058671268334774
1,101,AutoRegression,[],0.18918860256780048,0.48013816925734026
1,102,AutoRegression,[],0.18948707243358023,0.4788245462402766
1,103,AutoRegression,[],0.19005655871813384,0.4809688581314879
1,104,AutoRegression,[],0.18908533684217907,0.48138528138528136
1,105,AutoRegression,[],0.18856883719895948,0.48180242634315423
1,106,AutoRegression,[],0.18825092672341046,0.48048568950563747
1,107,AutoRegression,[],0.18879024701447247,0.4791666666666667
1,108,AutoRegression,[],0.18839829748233763,0.4787141615986099
1,109,AutoRegression,[],0.18784962341471498,0.4782608695652174
1,110,AutoRegression,[],0.18818158921752567,0.47867711053089645
1,111,AutoRegression,[],0.18839798550146084,0.47735191637630664
1,112,AutoRegression,[],0.1883205538687668,0.48299912816041846
1,113,AutoRegression,[],0.18850184945079443,0.48429319371727747
1,114,AutoRegression,[],0.1888510512836086,0.48384279475982533
1,115,AutoRegression,[],0.1891469997106097,0.48164335664335667
1,116,AutoRegression,[],0.18903845346710937,0.48118985126859143
1,117,AutoRegression,[],0.1890767521256113,0.4816112084063047
1,118,AutoRegression,[],0.19236271914177766,0.4785276073619632
1,119,AutoRegression,[],0.19066266434879064,0.47982456140350876
1,120,AutoRegression,[],0.19022645500749452,0.4784899034240562
1,121,AutoRegression,[],0.18880265186442588,0.47627416520210897
1,122,AutoRegression,[],0.18879889751812065,0.4731750219876869
1,123,AutoRegression,[],0.18875071720367503,0.4709507042253521
1,124,AutoRegression,[],0.18835086695391318,0.4669603524229075
1,125,AutoRegression,[],0.1887605755422769,0.4691358024691358
1,126,AutoRegression,[],0.18729401719510538,0.46954986760812
1,127,AutoRegression,[],0.18761774054575933,0.4673144876325088
1,128,AutoRegression,[],0.18699354385426378,0.46949602122015915
1,129,AutoRegression,[],0.18643262374326605,0.4690265486725664
1,130,AutoRegression,[],0.18668130004159694,0.4685562444641275
1,131,AutoRegression,[],0.1861603892780028,0.4734042553191489
1,132,AutoRegression,[],0.18656811375170554,0.47737355811889975
1,133,AutoRegression,[],0.18672131421637464,0.4698046181172291
1,134,AutoRegression,[],0.18620835968772728,0.4693333333333333
1,135,AutoRegression,[],0.18549420008443168,0.47597864768683273
1,136,AutoRegression,[],0.18547881845116704,0.4781834372217275
1,137,AutoRegression,[],0.1860199470340765,0.48128342245989303
1,138,AutoRegression,[],0.1848269743188787,0.47546833184656556
1,139,AutoRegression,[],0.18415630307571224,0.47946428571428573
1,140,AutoRegression,[],0.18418092678810305,0.4736371760500447
1,141,AutoRegression,[],0.18312831346731315,0.46869409660107336
1,142,AutoRegression,[],0.182486225398778,0.4726947179946285
1,143,AutoRegression,[],0.18215942629677148,0.47401433691756273
1,144,AutoRegression,[],0.18201397213025935,0.4744394618834081
1,145,AutoRegression,[],0.1821432279949437,0.473967684021544
1,146,AutoRegression,[],0.181334836222148,0.4779874213836478
1,147,AutoRegression,[],0.1811816680822208,0.47571942446043164
1,148,AutoRegression,[],0.18134464229573785,0.47974797479747977
1,149,AutoRegression,[],0.18125172407816542,0.48018018018018016
